Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
WRITE FUNCTIONALITY TEST CASE FOR LOGIN BUTTON,JIR-32,10088,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:56,01-04-2026 14:56,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46df004c,,,,,,,,,,,,,,,,0|i0009j:,,,JIR Sprint 1,,,,,,,,,,,,10078,JIR-27,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:56
WRITE FUNCTIONALITY TEST CASE FOR FORGOT PASSWORD BUTTON,JIR-33,10090,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:56,01-04-2026 14:56,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3de18dc,,,,,,,,,,,,,,,,0|i0009r:,,,JIR Sprint 1,,,,,,,,,,,,10078,JIR-27,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:56
WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE,JIR-34,10123,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:38,02-04-2026 09:47,02-04-2026 10:05,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@453834c7,,,,,,,,,,,,,,,,0|i0009z:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,02-04-2026 09:38
WRITE FUNCTIONALITY TEST CASE FOR NAVIGATION,JIR-40,10130,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:51,02-04-2026 09:57,02-04-2026 09:51,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@141fa40c,,,,,,,,,,,,,,,,0|i000bb:,,,JIR Sprint 1,,,,,,,,,,,,10123,JIR-34,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE,To Do,02-04-2026 09:51
WRITE FUNCTIONALTIY TEST CASE FOR SEARCH BAR,JIR-41,10132,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:52,02-04-2026 09:57,02-04-2026 09:53,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a39ffe5,,,,,,,,,,,,,,,,0|i000bj:,,,JIR Sprint 1,,,,,,,,,,,,10123,JIR-34,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE,To Do,02-04-2026 09:52
WRITE FUNCTIONALTIY TEST CASE FOR USER PROFILE ICON,JIR-42,10134,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:53,02-04-2026 09:59,02-04-2026 10:02,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@495bb941,,,,,,,,,,,,,,,,0|i000br:,,,JIR Sprint 1,,,,,,,,,,,,10123,JIR-34,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE,To Do,02-04-2026 09:53
WRITE FUNCTIONALTIY TEST CASE FOR EDIT PROFILE,JIR-43,10136,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:54,02-04-2026 09:59,02-04-2026 10:02,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45ae4f1f,,,,,,,,,,,,,,,,0|i000bz:,,,JIR Sprint 1,,,,,,,,,,,,10123,JIR-34,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE,To Do,02-04-2026 09:54
WRITE FUNCTIONALTIY TEST CASE FOR EDIT PROFILE,JIR-44,10138,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:59,02-04-2026 10:00,02-04-2026 10:04,,,,0,"h4. FULL NAME

EMAIL

MOBILE NUMBER",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c8c8fcd,,,,,,,,,,,,,,,,0|i000c7:,,,JIR Sprint 1,,,,,,,,,,,,10123,JIR-34,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE,To Do,02-04-2026 09:59
WRITE FUNCTIONALTIY TEST CASE FOR CHANGE PASSWORD,JIR-45,10140,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:01,02-04-2026 10:01,02-04-2026 10:04,,,,0,"CURRENT PASSWORD

NEW PASSWORD

CONFIRM PASSWORD

UPDATE BUTTON",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@527a196d,,,,,,,,,,,,,,,,0|i000cf:,,,JIR Sprint 1,,,,,,,,,,,,10123,JIR-34,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE,To Do,02-04-2026 10:01
WRITE FUNCTIONALITY TEST CASE FOR COURSE LISTING PAGE,JIR-35,10124,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:39,02-04-2026 09:39,02-04-2026 10:07,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d5e8143,,,,,,,,,,,,,,,,0|i000a7:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,02-04-2026 09:39
WRITE FUNCTIONALTIY TEST CASE FOR NAVIGATION,JIR-46,10142,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:08,02-04-2026 10:08,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d1e1fde,,,,,,,,,,,,,,,,0|i000cn:,,,JIR Sprint 1,,,,,,,,,,,,10124,JIR-35,WRITE FUNCTIONALITY TEST CASE FOR COURSE LISTING PAGE,To Do,02-04-2026 10:08
WRITE FUNCTIONALTIY TEST CASE FOR COURSE CARD LAYOUT,JIR-47,10144,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:08,02-04-2026 10:09,02-04-2026 10:09,,,,0,"COURSE THUMBNAIL

COURESE TITLE

INSTRUCTOR NAME

PRICE

RATING

ENROLL BUTTON",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30b924a3,,,,,,,,,,,,,,,,0|i000cv:,,,JIR Sprint 1,,,,,,,,,,,,10124,JIR-35,WRITE FUNCTIONALITY TEST CASE FOR COURSE LISTING PAGE,To Do,02-04-2026 10:08
WRITE FUNCTIONALITY TEST CASE FOR COURESE DETAIL PAGE,JIR-36,10125,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:40,02-04-2026 09:40,02-04-2026 10:11,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d3db58b,,,,,,,,,,,,,,,,0|i000af:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,02-04-2026 09:40
WRITE FUNCTIONALTIY TEST CASE FOR COURSE INFORMATION,JIR-48,10146,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:10,02-04-2026 10:11,02-04-2026 10:10,,,,0,"COURSE TITLE

FULL DESCRIPTION

DURATION

NUMBER OF LECTURES",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@29ed2b6f,,,,,,,,,,,,,,,,0|i000d3:,,,JIR Sprint 1,,,,,,,,,,,,10125,JIR-36,WRITE FUNCTIONALITY TEST CASE FOR COURESE DETAIL PAGE,To Do,02-04-2026 10:10
WRITE FUNCTIONALTIY TEST CASE FOR VIDEO PREVIEW,JIR-49,10148,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:10,02-04-2026 10:11,02-04-2026 10:11,,,,0,"PREVIEW VIDEO AVAILABLE

PLAY/PAUSE CONTROLS",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11833c12,,,,,,,,,,,,,,,,0|i000db:,,,JIR Sprint 1,,,,,,,,,,,,10125,JIR-36,WRITE FUNCTIONALITY TEST CASE FOR COURESE DETAIL PAGE,To Do,02-04-2026 10:10
WRITE FUNCTIONALTIY TEST CASE FOR ENROLL NOW BUTTON,JIR-50,10150,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:10,02-04-2026 10:13,02-04-2026 10:12,,,,0,"REDIRECTS TO PAYMENT (IF PAID COURSE)

FREE COURSE → DIRECTLY ADDED",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d7297d7,,,,,,,,,,,,,,,,0|i000dj:,,,JIR Sprint 1,,,,,,,,,,,,10125,JIR-36,WRITE FUNCTIONALITY TEST CASE FOR COURESE DETAIL PAGE,To Do,02-04-2026 10:10
WRITE FUNCTIONALTIY TEST CASE FOR MY COURESES PAGE,JIR-37,10126,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:40,02-04-2026 09:40,02-04-2026 10:16,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a2fe32f,,,,,,,,,,,,,,,,0|i000an:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,02-04-2026 09:40
WRITE FUNCTIONALTIY TEST CASE FOR ENROLLED COURSES,JIR-51,10152,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:14,02-04-2026 10:16,02-04-2026 10:15,,,,0,DISPLAY LIST OF ENROLLED COURSES,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@116bf0d,,,,,,,,,,,,,,,,0|i000dr:,,,JIR Sprint 1,,,,,,,,,,,,10126,JIR-37,WRITE FUNCTIONALTIY TEST CASE FOR MY COURESES PAGE,To Do,02-04-2026 10:14
WRITE FUNCTIONALTIY TEST CASE FOR COURSE PROGRESS,JIR-52,10154,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:15,02-04-2026 10:16,02-04-2026 10:16,,,,0,SHOW COMPLETION PERCENTAGE,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54600bc,,,,,,,,,,,,,,,,0|i000dz:,,,JIR Sprint 1,,,,,,,,,,,,10126,JIR-37,WRITE FUNCTIONALTIY TEST CASE FOR MY COURESES PAGE,To Do,02-04-2026 10:15
WRITE FUNCTIONALTIY TEST CASE FOR CONTINUE LEARNING,JIR-53,10156,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:15,02-04-2026 10:17,02-04-2026 10:16,,,,0,RESUME FROM LAST WATCHED LECTURE,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4bb1a9fc,,,,,,,,,,,,,,,,0|i000e7:,,,JIR Sprint 1,,,,,,,,,,,,10126,JIR-37,WRITE FUNCTIONALTIY TEST CASE FOR MY COURESES PAGE,To Do,02-04-2026 10:15
WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER,JIR-38,10127,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:41,02-04-2026 09:41,02-04-2026 10:19,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39441423,,,,,,,,,,,,,,,,0|i000av:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,02-04-2026 09:41
WRITE FUNCTIONALTIY TEST CASE FOR LECTURE PLAYBACK,JIR-54,10158,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:17,02-04-2026 10:18,02-04-2026 10:18,,,,0,"PLAY/PAUSE

SEEK FORWARD/BACKWARD",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ec71578,,,,,,,,,,,,,,,,0|i000ef:,,,JIR Sprint 1,,,,,,,,,,,,10127,JIR-38,WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER,To Do,02-04-2026 10:17
WRITE FUNCTIONALTIY TEST CASE FOR PROGRESS TRACKING,JIR-55,10160,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:17,02-04-2026 10:19,02-04-2026 10:19,,,,0,AUTOMATICALLY SAVE PROGRESS,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f483be8,,,,,,,,,,,,,,,,0|i000en:,,,JIR Sprint 1,,,,,,,,,,,,10127,JIR-38,WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER,To Do,02-04-2026 10:17
WRITE FUNCTIONALTIY TEST CASE FOR NEXT LECTURE,JIR-56,10162,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:17,02-04-2026 10:19,02-04-2026 10:19,,,,0,AUTO-PLAY NEXT VIDEO,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f5a2d25,,,,,,,,,,,,,,,,0|i000ev:,,,JIR Sprint 1,,,,,,,,,,,,10127,JIR-38,WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER,To Do,02-04-2026 10:17
WRITE FUNCTIONALITY TEST CASE FOR REVIEWS & RATING,JIR-39,10128,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 09:41,02-04-2026 09:41,02-04-2026 10:20,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@755bdd5a,,,,,,,,,,,,,,,,0|i000b3:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,02-04-2026 09:41
WRITE FUNCTIONALTIY TEST CASE FOR ADDING REVIEW,JIR-57,10164,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:20,02-04-2026 10:20,02-04-2026 10:20,,,,0,"RATING (1-5 STARS)

COMMENT FIELD",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7168822e,,,,,,,,,,,,,,,,0|i000f3:,,,JIR Sprint 1,,,,,,,,,,,,10128,JIR-39,WRITE FUNCTIONALITY TEST CASE FOR REVIEWS & RATING,To Do,02-04-2026 10:20
WRITE FUNCTIONALTIY TEST CASE FOR VIEW REVIEWS,JIR-58,10166,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:20,02-04-2026 10:20,02-04-2026 10:20,,,,0,COMMENT FIELD,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72a731e1,,,,,,,,,,,,,,,,0|i000fb:,,,JIR Sprint 1,,,,,,,,,,,,10128,JIR-39,WRITE FUNCTIONALITY TEST CASE FOR REVIEWS & RATING,To Do,02-04-2026 10:20
WRITE FUNCTIONALTIY TEST CASES FOR PROFILE MANAGEMENT PAGE,JIR-59,10167,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:21,02-04-2026 10:21,02-04-2026 10:29,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7260c457,,,,,,,,,,,,,,,,0|i000fj:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,02-04-2026 10:21
WRITE FUNCTIONALTIY TEST CASE FOR EDIT PROFILE,JIR-60,10169,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:28,02-04-2026 10:28,02-04-2026 10:29,,,,0,"FULL NAME

EMAIL 

MOBILE NUMBER",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f8c0f3f,,,,,,,,,,,,,,,,0|i000fr:,,,JIR Sprint 1,,,,,,,,,,,,10167,JIR-59,WRITE FUNCTIONALTIY TEST CASES FOR PROFILE MANAGEMENT PAGE,To Do,02-04-2026 10:28
WRITE FUNCTIONALTIY TEST CASE FOR CHANGE PASSWORD,JIR-61,10171,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,02-04-2026 10:28,02-04-2026 10:29,02-04-2026 10:29,,,,0,"CURRENT PASSWORD

NEW PASSWORD

CONFIRM PASSWORD",,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a0fbbca,,,,,,,,,,,,,,,,0|i000fz:,,,JIR Sprint 1,,,,,,,,,,,,10167,JIR-59,WRITE FUNCTIONALTIY TEST CASES FOR PROFILE MANAGEMENT PAGE,To Do,02-04-2026 10:28
